"","MSA","min","max","perc"
"146","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2e+05,5e+05,0.127972530648402
"147","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35000,39999,0.0297953061729082
"148","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25000,29999,0.0315133687125133
"149","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",150000,199999,0.101128673346247
"150","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1e+05,124999,0.0997634747354339
"151","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,10000,0.0633636365124927
"152","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15000,19999,0.0321720207559311
"153","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",125000,149999,0.075988141807089
"154","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",50000,59999,0.0633370284436163
"155","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10000,14999,0.0369287247612233
"156","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",75000,99999,0.121156771466981
"157","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40000,44999,0.0337562242413426
"158","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",30000,34999,0.0353310125639208
"159","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20000,24999,0.0321151204240262
"160","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",45000,49999,0.0295169448369703
"161","Phoenix-Mesa-Chandler, AZ",60000,74999,0.102808348025837
"162","Phoenix-Mesa-Chandler, AZ",45000,49999,0.0387393697385405
"163","Phoenix-Mesa-Chandler, AZ",75000,99999,0.140099667506622
"164","Phoenix-Mesa-Chandler, AZ",25000,29999,0.0327700535907406
"165","Phoenix-Mesa-Chandler, AZ",20000,24999,0.0316644258920832
"166","Phoenix-Mesa-Chandler, AZ",35000,39999,0.0376315951899828
"167","Phoenix-Mesa-Chandler, AZ",30000,34999,0.0381382517664549
"168","Phoenix-Mesa-Chandler, AZ",2e+05,5e+05,0.0958643620232987
"169","Phoenix-Mesa-Chandler, AZ",150000,199999,0.081102622108797
"170","Phoenix-Mesa-Chandler, AZ",1e+05,124999,0.111071573292114
"171","Phoenix-Mesa-Chandler, AZ",125000,149999,0.0768529327311419
"172","Phoenix-Mesa-Chandler, AZ",0,10000,0.0467455097292554
"173","Phoenix-Mesa-Chandler, AZ",10000,14999,0.02630374169102
"174","Phoenix-Mesa-Chandler, AZ",15000,19999,0.0269070065130059
"175","Phoenix-Mesa-Chandler, AZ",40000,44999,0.0400645128395042
"176","Phoenix-Mesa-Chandler, AZ",50000,59999,0.073236027361602
"177","Riverside-San Bernardino-Ontario, CA",35000,39999,0.0343798080191343
"178","Riverside-San Bernardino-Ontario, CA",10000,14999,0.0353488688278734
"179","Riverside-San Bernardino-Ontario, CA",50000,59999,0.0692153590241967
"180","Riverside-San Bernardino-Ontario, CA",45000,49999,0.0321843338175169
"181","Riverside-San Bernardino-Ontario, CA",40000,44999,0.0363886842554325
"182","Riverside-San Bernardino-Ontario, CA",125000,149999,0.0841522139952636
"183","Riverside-San Bernardino-Ontario, CA",15000,19999,0.0308101681323972
"184","Riverside-San Bernardino-Ontario, CA",60000,74999,0.102125274520984
"185","Riverside-San Bernardino-Ontario, CA",20000,24999,0.0337152695404141
"186","Riverside-San Bernardino-Ontario, CA",2e+05,5e+05,0.0890634169486446
"187","Riverside-San Bernardino-Ontario, CA",1e+05,124999,0.112558806105985
"188","Riverside-San Bernardino-Ontario, CA",75000,99999,0.137142567782231
"189","Riverside-San Bernardino-Ontario, CA",0,10000,0.0466841749664609
"190","Riverside-San Bernardino-Ontario, CA",30000,34999,0.0372932334999535
"191","Riverside-San Bernardino-Ontario, CA",150000,199999,0.0871946626045191
"192","Riverside-San Bernardino-Ontario, CA",25000,29999,0.0317431579589928
"193","San Francisco-Oakland-Berkeley, CA",0,10000,0.0453227336742583
"194","San Francisco-Oakland-Berkeley, CA",60000,74999,0.065559504121174
"195","San Francisco-Oakland-Berkeley, CA",150000,199999,0.118560320270103
"196","San Francisco-Oakland-Berkeley, CA",20000,24999,0.0220633617773548
"197","San Francisco-Oakland-Berkeley, CA",35000,39999,0.0228027240642937
"198","San Francisco-Oakland-Berkeley, CA",75000,99999,0.0964952133417954
"199","San Francisco-Oakland-Berkeley, CA",10000,14999,0.0297024692140829
"200","San Francisco-Oakland-Berkeley, CA",50000,59999,0.0431564196250369
"201","San Francisco-Oakland-Berkeley, CA",40000,44999,0.0232669342176983
"202","San Francisco-Oakland-Berkeley, CA",25000,29999,0.0204287370517071
"203","San Francisco-Oakland-Berkeley, CA",15000,19999,0.0236153826912438
"204","San Francisco-Oakland-Berkeley, CA",30000,34999,0.0229987626879746
"205","San Francisco-Oakland-Berkeley, CA",1e+05,124999,0.0902440826294073
"206","San Francisco-Oakland-Berkeley, CA",45000,49999,0.0219004810217742
